Industry,Region,Year,ESG_Overall,ESG_Environmental,CarbonEmissions,WaterUsage,EnergyConsumption
Healthcare,Oceania,2016,52.4,72.7,351094.3,351094.3,702188.6
Healthcare,Oceania,2017,53.9,77.8,340222.4,340222.4,680444.7
Healthcare,Oceania,2018,53.4,77.7,349079.0,349079.0,698158.1
Healthcare,Oceania,2019,54.4,78.5,352693.8,352693.8,705387.6
Healthcare,Oceania,2020,53.9,78.3,406012.5,406012.5,812025.1
Healthcare,Oceania,2021,53.3,78.0,423188.3,423188.3,846376.6
Healthcare,Oceania,2022,53.9,80.9,404596.4,404596.4,809192.9
Healthcare,Oceania,2023,53.7,81.6,378353.9,378353.9,756707.8
Healthcare,Oceania,2024,55.8,81.9,381475.3,381475.3,762950.7
Healthcare,Oceania,2025,58.4,87.6,378090.2,378090.2,756180.5
Healthcare,Europe,2015,74.4,69.4,506391.0,506391.0,1012782.0
Healthcare,Europe,2016,75.5,69.3,528938.5,528938.5,1057876.9
Healthcare,Europe,2017,76.8,71.8,493832.6,493832.6,987665.3
Healthcare,Europe,2018,76.6,69.5,496422.5,496422.5,992845.0
Healthcare,Europe,2019,77.0,67.2,488275.3,488275.3,976550.7
Healthcare,Europe,2020,78.5,70.2,478492.5,478492.5,956984.9
Healthcare,Europe,2021,78.2,74.1,435991.0,435991.0,871982.0
Healthcare,Europe,2022,79.6,75.2,443275.8,443275.8,886551.6
Healthcare,Europe,2023,79.6,75.4,457696.4,457696.4,915392.8
Healthcare,Europe,2024,81.4,78.2,468000.4,468000.4,936000.8
Healthcare,Europe,2025,81.6,77.1,469707.3,469707.3,939414.6
Technology,North America,2015,59.8,37.8,69681.3,41808.8,139362.7
Technology,North America,2016,58.8,38.0,82263.8,49358.3,164527.5
Technology,North America,2017,60.2,37.2,97986.2,58791.7,195972.4
Technology,North America,2018,63.5,40.8,117733.8,70640.3,235467.6
Technology,North America,2019,63.3,40.5,147097.1,88258.2,294194.1
Technology,North America,2020,63.1,39.7,165277.3,99166.4,330554.5
Technology,North America,2021,63.8,39.7,202835.4,121701.3,405670.9
Technology,North America,2022,65.3,43.5,209222.4,125533.4,418444.8
Technology,North America,2023,63.3,45.0,225770.9,135462.6,451541.9
Technology,North America,2024,63.2,45.6,257772.5,154663.5,515545.0
Technology,North America,2025,63.5,48.4,291193.2,174715.9,582386.4
Technology,Latin America,2015,62.2,81.7,1530517.6,918310.6,3061035.3
Technology,Latin America,2016,64.8,79.6,1803672.0,1082203.2,3607344.1
Technology,Latin America,2017,65.0,79.2,1955375.5,1173225.3,3910751.0
Technology,Latin America,2018,65.1,79.7,2109725.6,1265835.4,4219451.2
Technology,Latin America,2019,64.2,77.8,2374857.6,1424914.5,4749715.1
Technology,Latin America,2020,65.8,81.3,2492114.3,1495268.6,4984228.6
Technology,Latin America,2021,67.0,81.8,2497067.9,1498240.8,4994135.9
Technology,Latin America,2022,67.1,79.8,2998092.6,1798855.6,5996185.2
Technology,Latin America,2023,67.4,79.5,3476430.3,2085858.2,6952860.6
Technology,Latin America,2024,68.6,77.8,3864217.0,2318530.2,7728434.0
Technology,Latin America,2025,69.6,80.9,3319085.3,1991451.2,6638170.6
Energy,Europe,2015,59.5,44.6,978737.8,293621.3,9787378.2
Energy,Europe,2016,60.1,45.7,733816.9,220145.1,7338168.9
Energy,Europe,2017,58.6,44.8,550492.2,165147.7,5504921.9
Energy,Europe,2018,61.2,51.1,481346.8,144404.0,4813468.2
Energy,Europe,2019,64.3,57.2,405962.7,121788.8,4059626.6
Energy,Europe,2020,64.8,61.8,310497.4,93149.2,3104974.2
Energy,Europe,2021,64.4,64.0,267955.8,80386.7,2679558.1
Energy,Europe,2022,66.2,66.3,217375.8,65212.7,2173758.1
Energy,Europe,2023,67.7,68.9,191370.2,57411.1,1913701.7
Energy,Europe,2024,69.2,70.3,137628.4,41288.5,1376284.1
Energy,Europe,2025,70.3,71.3,119639.5,35891.8,1196394.7
Finance,Asia,2015,52.8,90.4,34963.6,17481.8,87409.0
Finance,Asia,2016,54.1,91.5,35841.1,17920.6,89602.8
Finance,Asia,2017,51.9,89.1,42998.9,21499.4,107497.2
Finance,Asia,2018,50.8,88.5,45675.8,22837.9,114189.6
Finance,Asia,2019,51.1,87.4,46001.9,23001.0,115004.8
Finance,Asia,2020,51.8,87.0,43190.8,21595.4,107977.0
Finance,Asia,2021,52.1,87.0,43956.7,21978.3,109891.6
Finance,Asia,2022,53.2,87.7,41437.8,20718.9,103594.6
Finance,Asia,2023,54.5,87.3,38923.6,19461.8,97309.1
Finance,Asia,2024,54.6,88.6,40801.4,20400.7,102003.4
Finance,Asia,2025,53.6,87.9,41848.9,20924.4,104622.2
Consumer Goods,Asia,2015,44.6,80.2,63581.8,79477.3,317909.1
Consumer Goods,Asia,2016,46.9,82.8,70541.0,88176.2,352704.9
Consumer Goods,Asia,2017,47.2,85.1,83465.7,104332.1,417328.4
Consumer Goods,Asia,2018,48.8,86.2,88238.5,110298.1,441192.6
Consumer Goods,Asia,2019,51.1,88.7,96578.4,120723.0,482892.1
Consumer Goods,Asia,2020,52.3,89.5,109460.7,136825.9,547303.5
Consumer Goods,Asia,2021,53.0,90.9,122495.9,153119.8,612479.3
Consumer Goods,Asia,2022,54.6,90.7,120619.7,150774.7,603098.7
Consumer Goods,Asia,2023,55.6,95.5,126979.9,158724.9,634899.7
Consumer Goods,Asia,2024,55.2,97.0,146186.4,182733.0,730932.2
Consumer Goods,Asia,2025,56.1,97.8,172327.4,215409.2,861637.0
Transportation,Middle East,2015,38.5,20.8,490364.3,81727.4,1634547.6
Transportation,Middle East,2016,40.0,22.4,541578.0,90263.0,1805260.1
Transportation,Middle East,2017,39.5,24.2,567519.6,94586.6,1891731.9
Transportation,Middle East,2018,40.3,25.1,587497.8,97916.3,1958326.0
Transportation,Middle East,2019,42.0,25.8,603338.6,100556.4,2011128.7
Transportation,Middle East,2020,41.3,24.6,625021.9,104170.3,2083406.3
Transportation,Middle East,2021,42.9,26.6,657776.8,109629.5,2192589.4
Transportation,Middle East,2022,42.7,27.5,700213.7,116702.3,2334045.7
Transportation,Middle East,2023,42.9,27.5,849092.3,141515.4,2830307.5
Transportation,Middle East,2024,44.8,29.2,841594.3,140265.7,2805314.2
Transportation,Middle East,2025,46.1,30.4,961413.8,160235.6,3204712.5
Healthcare,Oceania,2015,51.0,75.8,384081.3,384081.3,768162.6
Healthcare,Oceania,2016,50.6,76.3,381278.5,381278.5,762557.0
Healthcare,Oceania,2017,52.6,80.4,412080.4,412080.4,824160.8
Healthcare,Oceania,2018,54.2,81.1,439374.6,439374.6,878749.1
Healthcare,Oceania,2019,55.6,84.8,406070.7,406070.7,812141.4
Healthcare,Oceania,2020,56.9,86.9,438267.5,438267.5,876535.1
Healthcare,Oceania,2021,56.6,84.4,392268.1,392268.1,784536.2
Healthcare,Oceania,2022,57.1,84.5,447629.5,447629.5,895258.9
Healthcare,Oceania,2023,57.6,82.9,509178.2,509178.2,1018356.4
Healthcare,Oceania,2024,57.6,83.2,573492.9,573492.9,1146985.9
Healthcare,Oceania,2025,58.6,85.1,694213.6,694213.6,1388427.2
Energy,Europe,2015,47.2,46.8,1012659.6,303797.9,10126595.9
Energy,Europe,2016,46.9,46.9,1057599.4,317279.8,10575993.9
Energy,Europe,2017,47.5,48.3,1075823.2,322747.0,10758232.4
Energy,Europe,2018,50.1,49.6,1126052.2,337815.6,11260521.6
Energy,Europe,2019,50.8,52.2,1058730.8,317619.3,10587308.4
Energy,Europe,2020,51.4,51.6,1061247.1,318374.1,10612470.7
Energy,Europe,2021,52.6,54.6,1135154.7,340546.4,11351546.8
Energy,Europe,2022,56.8,59.6,1004250.2,301275.0,10042501.7
Energy,Europe,2023,57.7,58.3,886537.9,265961.4,8865378.6
Energy,Europe,2024,57.7,59.3,956950.4,287085.1,9569503.7
Energy,Europe,2025,59.8,63.6,943634.4,283090.3,9436344.2
Utilities,Oceania,2015,62.9,55.9,2314884.0,1446802.5,23148840.2
Utilities,Oceania,2016,63.8,57.5,2207551.8,1379719.9,22075517.8
Utilities,Oceania,2017,64.7,59.5,2416031.1,1510019.5,24160311.5
Utilities,Oceania,2018,65.2,59.6,2448835.7,1530522.3,24488357.2
Utilities,Oceania,2019,65.8,61.4,2478297.7,1548936.1,24782977.2
Utilities,Oceania,2020,66.3,59.2,2717984.9,1698740.5,27179848.5
Utilities,Oceania,2021,67.5,62.0,2548603.1,1592876.9,25486030.6
Utilities,Oceania,2022,67.9,62.8,2392036.0,1495022.5,23920359.9
Utilities,Oceania,2023,67.7,62.3,2484365.5,1552728.5,24843655.2
Utilities,Oceania,2024,67.4,64.7,2398691.0,1499181.9,23986910.4
Utilities,Oceania,2025,68.1,64.8,2763980.6,1727487.8,27639805.5
Energy,Europe,2015,68.6,62.6,6022569.0,1806770.7,60225690.0
Energy,Europe,2016,67.9,65.1,5832359.2,1749707.8,58323592.4
Energy,Europe,2017,68.2,64.4,6409746.9,1922924.1,64097469.4
Energy,Europe,2018,69.8,66.5,7028856.5,2108656.9,70288564.5
Energy,Europe,2019,70.1,66.0,7711241.8,2313372.5,77112417.8
Energy,Europe,2020,72.0,65.6,8598140.2,2579442.1,85981402.1
Energy,Europe,2021,70.9,63.5,9415470.5,2824641.2,94154705.2
Energy,Europe,2022,73.3,66.1,9069726.1,2720917.8,90697261.1
Energy,Europe,2023,74.0,68.9,8496541.5,2548962.4,84965414.9
Energy,Europe,2024,74.9,70.4,9745915.4,2923774.6,97459154.4
Energy,Europe,2025,75.6,72.9,10126534.1,3037960.2,101265340.7
Technology,Latin America,2015,48.7,91.8,1931859.7,1159115.8,3863719.4
Technology,Latin America,2016,48.9,91.9,2004620.0,1202772.0,4009239.9
Technology,Latin America,2017,49.9,91.8,2033473.4,1220084.0,4066946.7
Technology,Latin America,2018,51.2,94.5,2168207.9,1300924.7,4336415.8
Technology,Latin America,2019,51.0,93.0,2551607.4,1530964.5,5103214.9
Technology,Latin America,2020,52.0,91.9,2738517.5,1643110.5,5477035.0
Technology,Latin America,2021,52.9,89.0,3524270.2,2114562.1,7048540.4
Technology,Latin America,2022,54.6,87.9,3657244.2,2194346.5,7314488.5
Technology,Latin America,2023,56.1,89.8,4101768.5,2461061.1,8203537.1
Technology,Latin America,2024,55.2,88.1,4514092.8,2708455.7,9028185.7
Technology,Latin America,2025,57.1,91.2,5078874.7,3047324.8,10157749.4
Technology,North America,2015,59.6,96.8,116153.9,69692.3,232307.8
Technology,North America,2016,61.5,98.4,132261.8,79357.1,264523.6
Technology,North America,2017,61.1,97.2,123996.5,74397.9,247993.0
Technology,North America,2018,62.0,96.8,138073.3,82844.0,276146.6
Technology,North America,2019,62.1,96.0,145797.7,87478.6,291595.4
Technology,North America,2020,61.9,96.3,158387.9,95032.8,316775.9
Technology,North America,2021,61.9,97.8,170326.4,102195.8,340652.7
Technology,North America,2022,63.1,100.0,171627.8,102976.7,343255.6
Technology,North America,2023,63.4,100.0,187175.5,112305.3,374351.0
Technology,North America,2024,65.0,100.0,182931.2,109758.7,365862.3
Technology,North America,2025,65.8,100.0,214537.3,128722.4,429074.6
Energy,Asia,2015,30.6,21.9,2116341.2,634902.3,21163411.5
Energy,Asia,2016,30.4,23.4,2001281.6,600384.5,20012815.6
Energy,Asia,2017,31.8,25.5,1973532.2,592059.7,19735322.1
Energy,Asia,2018,33.4,27.2,2045814.9,613744.5,20458149.3
Energy,Asia,2019,33.7,29.1,2027301.6,608190.5,20273016.0
Energy,Asia,2020,33.6,29.2,2111070.1,633321.0,21110701.1
Energy,Asia,2021,34.4,26.9,1876502.7,562950.8,18765027.2
Energy,Asia,2022,35.7,27.8,1660624.1,498187.2,16606241.1
Energy,Asia,2023,36.6,29.6,1708731.8,512619.5,17087318.0
Energy,Asia,2024,36.8,28.9,1227098.8,368129.7,12270988.4
Energy,Asia,2025,37.0,31.3,1079769.8,323930.9,10797698.2
Manufacturing,Latin America,2015,51.5,67.8,112808.1,150410.8,1880134.9
Manufacturing,Latin America,2016,52.2,71.7,115138.3,153517.7,1918971.3
Manufacturing,Latin America,2017,53.0,74.5,119074.9,158766.5,1984581.8
Manufacturing,Latin America,2018,53.5,75.0,128616.3,171488.4,2143604.5
Manufacturing,Latin America,2019,52.5,73.4,140901.6,187868.8,2348360.4
Manufacturing,Latin America,2020,53.1,72.6,152818.6,203758.2,2546977.1
Manufacturing,Latin America,2021,52.7,71.9,170485.9,227314.6,2841432.3
Manufacturing,Latin America,2022,56.1,76.2,161238.9,214985.2,2687315.3
Manufacturing,Latin America,2023,59.2,81.5,173937.9,231917.2,2898964.6
Manufacturing,Latin America,2024,59.5,82.1,178970.8,238627.7,2982846.3
Manufacturing,Latin America,2025,60.1,85.0,183334.3,244445.7,3055571.3
Healthcare,Asia,2015,50.7,50.8,88010.6,88010.6,176021.1
Healthcare,Asia,2016,53.3,53.8,86601.0,86601.0,173202.0
Healthcare,Asia,2017,56.0,55.2,83925.2,83925.2,167850.3
Healthcare,Asia,2018,56.6,53.8,84098.3,84098.3,168196.7
Healthcare,Asia,2019,56.5,54.0,90060.4,90060.4,180120.7
Healthcare,Asia,2020,56.9,53.5,86072.5,86072.5,172145.0
Healthcare,Asia,2021,57.2,54.5,88851.5,88851.5,177703.0
Healthcare,Asia,2022,58.9,55.6,88855.0,88855.0,177710.0
Healthcare,Asia,2023,60.9,57.8,90654.0,90654.0,181307.9
Healthcare,Asia,2024,62.3,58.4,85439.4,85439.4,170878.8
Healthcare,Asia,2025,64.6,61.4,71201.3,71201.3,142402.5
Technology,Middle East,2015,49.8,84.2,359647.0,215788.2,719294.1
Technology,Middle East,2016,49.7,84.8,356269.3,213761.6,712538.7
Technology,Middle East,2017,50.9,85.4,388660.6,233196.4,777321.3
Technology,Middle East,2018,51.3,88.1,395692.2,237415.3,791384.4
Technology,Middle East,2019,51.7,86.5,386946.2,232167.7,773892.4
Technology,Middle East,2020,52.7,88.2,393204.2,235922.5,786408.3
Technology,Middle East,2021,55.4,89.5,427041.5,256224.9,854082.9
Technology,Middle East,2022,55.8,87.1,443042.0,265825.2,886083.9
Technology,Middle East,2023,56.8,88.4,436094.0,261656.4,872188.0
Technology,Middle East,2024,56.6,88.3,483961.6,290376.9,967923.1
Technology,Middle East,2025,56.7,91.0,475072.2,285043.3,950144.4
Utilities,Middle East,2015,36.9,19.4,594511.5,371569.7,5945115.2
Utilities,Middle East,2016,38.0,20.3,547141.1,341963.2,5471411.4
Utilities,Middle East,2017,37.5,16.3,599746.6,374841.6,5997466.4
Utilities,Middle East,2018,39.4,14.4,583275.3,364547.1,5832753.5
Utilities,Middle East,2019,37.2,10.7,613028.9,383143.1,6130288.9
Utilities,Middle East,2020,39.2,13.4,537957.6,336223.5,5379576.4
Utilities,Middle East,2021,40.4,14.2,517089.5,323180.9,5170894.7
Utilities,Middle East,2022,41.5,16.8,480371.6,300232.2,4803715.8
Utilities,Middle East,2023,43.6,19.4,499700.2,312312.6,4997002.2
Utilities,Middle East,2024,47.2,22.6,442217.0,276385.6,4422170.2
Utilities,Middle East,2025,49.4,22.5,435890.6,272431.6,4358905.6
Healthcare,Asia,2015,53.3,87.7,338678.3,338678.3,677356.6
Healthcare,Asia,2016,54.8,90.0,357822.4,357822.4,715644.7
Healthcare,Asia,2017,56.0,91.5,367180.1,367180.1,734360.1
Healthcare,Asia,2018,55.5,89.8,376172.3,376172.3,752344.7
Healthcare,Asia,2019,56.1,89.9,451247.9,451247.9,902495.9
Healthcare,Asia,2020,57.3,89.9,426273.9,426273.9,852547.8
Healthcare,Asia,2021,57.2,88.7,524016.4,524016.4,1048032.8
Healthcare,Asia,2022,57.5,91.2,553274.8,553274.8,1106549.6
Healthcare,Asia,2023,54.6,89.4,576773.0,576773.0,1153546.1
Healthcare,Asia,2024,54.8,90.7,573431.6,573431.6,1146863.2
Healthcare,Asia,2025,56.3,93.0,720235.7,720235.7,1440471.3
Healthcare,Europe,2015,59.2,91.0,77479.1,77479.1,154958.2
Healthcare,Europe,2016,60.8,97.3,80448.9,80448.9,160897.8
Healthcare,Europe,2017,61.5,98.5,94256.1,94256.1,188512.2
Healthcare,Europe,2018,63.1,100.0,102537.6,102537.6,205075.2
Healthcare,Europe,2019,63.4,100.0,118359.2,118359.2,236718.3
Healthcare,Europe,2020,63.8,100.0,139053.3,139053.3,278106.6
Healthcare,Europe,2021,64.8,100.0,163806.9,163806.9,327613.7
Healthcare,Europe,2022,65.2,100.0,188115.5,188115.5,376231.0
Healthcare,Europe,2023,64.8,100.0,212678.3,212678.3,425356.6
Healthcare,Europe,2024,66.0,100.0,263408.6,263408.6,526817.3
Healthcare,Europe,2025,67.5,100.0,314574.8,314574.8,629149.6
Technology,Latin America,2015,74.6,98.8,68384.6,41030.7,136769.2
Technology,Latin America,2016,76.4,100.0,74579.3,44747.6,149158.6
Technology,Latin America,2017,77.6,99.5,82294.9,49376.9,164589.7
Technology,Latin America,2018,76.6,99.7,84066.9,50440.1,168133.7
Technology,Latin America,2019,78.0,100.0,96518.9,57911.3,193037.7
Technology,Latin America,2020,77.8,99.5,111191.5,66714.9,222382.9
Technology,Latin America,2021,78.3,100.0,111232.0,66739.2,222464.0
Technology,Latin America,2022,79.9,100.0,118156.4,70893.8,236312.8
Technology,Latin America,2023,79.6,100.0,133506.6,80104.0,267013.2
Technology,Latin America,2024,80.8,100.0,150839.2,90503.5,301678.3
Technology,Latin America,2025,81.7,100.0,166854.3,100112.6,333708.6
Transportation,Oceania,2015,25.0,6.2,1091477.3,181912.9,3638257.7
Transportation,Oceania,2016,25.2,6.5,905932.9,150988.8,3019776.4
Transportation,Oceania,2017,27.0,9.5,931255.4,155209.2,3104184.6
Transportation,Oceania,2018,28.6,12.1,842129.8,140355.0,2807099.3
Transportation,Oceania,2019,26.5,11.3,742008.7,123668.1,2473362.4
Transportation,Oceania,2020,25.6,10.1,722558.3,120426.4,2408527.8
Transportation,Oceania,2021,26.6,10.9,525843.6,87640.6,1752812.0
Transportation,Oceania,2022,28.4,12.3,496177.2,82696.2,1653923.8
Transportation,Oceania,2023,29.7,12.9,491614.3,81935.7,1638714.5
Transportation,Oceania,2024,30.6,14.4,433756.2,72292.7,1445854.0
Transportation,Oceania,2025,28.9,10.8,430640.1,71773.3,1435467.0
Transportation,Middle East,2015,26.0,4.2,495563.5,82593.9,1651878.3
Transportation,Middle East,2016,26.5,8.3,532427.8,88738.0,1774759.3
Transportation,Middle East,2017,28.1,10.3,507199.8,84533.3,1690666.1
Transportation,Middle East,2018,29.2,8.1,503221.3,83870.2,1677404.5
Transportation,Middle East,2019,29.8,8.3,539543.2,89923.9,1798477.4
Transportation,Middle East,2020,29.0,6.5,558978.8,93163.1,1863262.7
Transportation,Middle East,2021,29.6,8.4,621332.1,103555.4,2071107.2
Transportation,Middle East,2022,30.2,10.3,668097.6,111349.6,2226991.9
Transportation,Middle East,2023,32.4,10.9,742677.2,123779.5,2475590.7
Transportation,Middle East,2024,32.1,11.3,810345.5,135057.6,2701151.5
Transportation,Middle East,2025,31.7,11.4,911951.2,151991.9,3039837.3
Transportation,Middle East,2015,23.9,28.3,2090644.7,348440.8,6968815.5
Transportation,Middle East,2016,23.7,26.3,1778315.3,296385.9,5927717.8
Transportation,Middle East,2017,26.8,31.3,1594740.5,265790.1,5315801.6
Transportation,Middle East,2018,27.9,35.1,1343519.1,223919.8,4478397.0
Transportation,Middle East,2019,28.0,33.4,869662.5,144943.8,2898875.1
Transportation,Middle East,2020,29.7,33.5,622413.5,103735.6,2074711.7
Transportation,Middle East,2021,29.7,35.3,620495.4,103415.9,2068318.1
Transportation,Middle East,2022,28.6,37.7,549185.1,91530.9,1830617.1
Transportation,Middle East,2023,28.5,37.2,471373.1,78562.2,1571243.7
Transportation,Middle East,2024,28.2,36.1,477172.6,79528.8,1590575.3
Transportation,Middle East,2025,28.7,34.8,479852.3,79975.4,1599507.5
Utilities,North America,2015,52.1,8.7,369409.0,230880.6,3694090.1
Utilities,North America,2016,52.5,8.9,388112.8,242570.5,3881127.8
Utilities,North America,2017,52.0,9.2,388983.8,243114.9,3889838.4
Utilities,North America,2018,52.0,9.3,409187.7,255742.3,4091876.6
Utilities,North America,2019,53.2,11.9,404870.2,253043.9,4048702.5
Utilities,North America,2020,56.1,13.6,398536.1,249085.1,3985360.8
Utilities,North America,2021,54.4,11.1,421876.3,263672.7,4218763.5
Utilities,North America,2022,55.0,12.5,424499.9,265312.5,4244999.4
Utilities,North America,2023,54.9,14.4,427736.2,267335.1,4277362.0
Utilities,North America,2024,54.2,14.5,456999.7,285624.8,4569997.0
Utilities,North America,2025,55.2,16.1,483791.4,302369.6,4837913.8
Finance,North America,2015,61.2,73.9,12968.1,6484.0,32420.2
Finance,North America,2016,62.0,73.4,13823.9,6912.0,34559.8
Finance,North America,2017,61.2,71.4,14375.0,7187.5,35937.5
Finance,North America,2018,61.5,70.4,13984.9,6992.4,34962.2
Finance,North America,2019,63.3,74.7,14159.1,7079.5,35397.7
Finance,North America,2020,62.8,73.4,16089.8,8044.9,40224.6
Finance,North America,2021,64.3,75.5,17464.6,8732.3,43661.5
Finance,North America,2022,65.6,78.9,16379.6,8189.8,40948.9
Finance,North America,2023,67.2,82.1,16453.5,8226.7,41133.7
Finance,North America,2024,68.0,82.8,16219.1,8109.5,40547.7
Finance,North America,2025,69.9,87.3,14662.4,7331.2,36655.9
Energy,Middle East,2015,25.5,47.7,6906699.0,2072009.7,69066989.5
Energy,Middle East,2016,27.6,51.5,7240743.8,2172223.1,72407438.0
Energy,Middle East,2017,30.2,51.3,8885120.7,2665536.2,88851207.1
Energy,Middle East,2018,33.4,54.5,8705051.5,2611515.4,87050514.6
Energy,Middle East,2019,34.2,53.4,8867653.5,2660296.0,88676534.7
Energy,Middle East,2020,35.0,53.1,9139066.8,2741720.0,91390668.1
Energy,Middle East,2021,35.1,53.3,9793081.9,2937924.6,97930819.1
Energy,Middle East,2022,35.5,55.4,10109918.6,3032975.6,101099186.4
Energy,Middle East,2023,35.1,57.1,10858627.3,3257588.2,108586272.8
Energy,Middle East,2024,35.7,60.2,14078566.5,4223570.0,140785665.3
Energy,Middle East,2025,34.8,58.4,16627583.0,4988274.9,166275829.7
Healthcare,Middle East,2015,66.5,65.4,48425.5,48425.5,96851.0
Healthcare,Middle East,2016,67.3,66.5,56069.2,56069.2,112138.5
Healthcare,Middle East,2017,69.0,72.3,55947.2,55947.2,111894.3
Healthcare,Middle East,2018,70.4,77.5,56794.7,56794.7,113589.3
Healthcare,Middle East,2019,69.5,73.2,70140.5,70140.5,140281.0
Healthcare,Middle East,2020,69.5,74.4,81118.5,81118.5,162237.1
Healthcare,Middle East,2021,70.6,77.1,89706.1,89706.1,179412.3
Healthcare,Middle East,2022,70.7,78.0,89926.6,89926.6,179853.3
Healthcare,Middle East,2023,73.0,79.6,110015.0,110015.0,220030.1
Healthcare,Middle East,2024,75.2,83.0,120155.8,120155.8,240311.6
